Workspace Name,Epic Name,Objective ,Final Requirement Description
AION,AION for Causal AI,"[Causal AI] Data Ingestion- Structured data 
 ","As a system, I should be able to ingest data from multiple data sources- MySQL, Snowflake, Internal locations, etc.

The system should be able to validate the quality of ingested data & throw exception messages in case the data being uploaded is not adhering to the quality levels.

User should be able to share context & description for the data before starting analysis. 
"
AION,AION Autopilot Mode,"As a system, I should be able to do data preprocessing before consuming the data for model building. 
 ","As a system, I should be able to do data preprocessing tasks such as handling missing values, encoding categorical variables, and scaling numerical features before data is fetched for model training/building. 
"
AION,AION LITE,"As a System, I should be able to create a deployable version which is smaller and faster 
 ","The system should have the capability to generate a deployable version that is both smaller in docker size and faster to install (than AION full version) without compromising on the performance, optimizing efficiency, and facilitating smoother deployment in various computing environments 
"
Admin Client,Improve User Experience for 12.0.2,"Add the validjson tool into the admin client 
 ","I would like to validate json files for a one-touch-setup on my local computer without installing a local domino server.

Or a simple detached validjson.exe would be perfect. 
"
Connections,Complement Microsoft,"Round-trip Editing with Office 365 
 ","Allow editing and round-trip updates using desktop plugin and locally installed Office clients, due to MSFT limitations for browser-based editing. Out of scope: O365 Online, mobile, Mac support. 
"
Connections,Tailored Experience,"TE: Templates for Communities 
 Investigate current layout engine in ICEC","As a user I can select from existing Community templates to create my new Community. Templates contain page layouts, selected apps, selected content (e.g. a set of Files and Folders, Wiki pages). Templates will be based on the CEC Highlights layout engine. I can also request that a community be turned into a template and Admins will have a way of managing, organizing and categorizing templates. 
* Is it scaleable?
* is it extensible to 3rd party apps?
* Can it be serialized?
* Is it consistent across versions or supports a version-identifier to import/export between different versions?"
Connections,Tailored Experience,"TE: Set Community Status based on Lifecycle 
 ","Under Construction, Live, Read Only, Archived, Closed. Each status reflects a set of read/write rights per role. E.g. when under ""Archived"" no one can create content as the Community strictly serves as a memory for e.g. a finished project.

Need to define rights per state and role, e.g. in ARCHIVED, MEMBERS can only READ

While Private Community state might be a work around for ""Under Construction"", we have customers who do not allow Private Communities (Bosch, Mahle, Conti) 
"
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Add SharePoint widget","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a Community Owner I can add a SharePoint widget to my Community so that Community members can see files and folders in the SharePoint library (folder) I specified

From documentation:
After you add the SharePoint widget to your community, configure it by specifying the hostname for the SharePoint server, a user name and password, the type of authentication to use, and the SharePoint Document Library you want to access."
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Working with Documents: Upload new version ","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can upload a new version of an existing file so that I can keep my content current and keep one version of the truth.

From Documentation:
Click Upload new version and browse for the file to replace the document with a newer version."
Connections,Absorb Services Assets,"ICXT: PDF Export 
 ","Export and print selected content as a PDF , using templates, on both desktop and mobile. Admin and Community Managers can disable if required. 
"
Connections,Absorb Services Assets,"Connections Touchpoint 
 ","Onboarding Connections users as quickly as 1 – 2 – 3! Turn new users into connected employees.

* Step-by-step onboarding wizard
* Connect with relevant people, suggest important communities
* Highly customizable 
"
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Working with Folders: Upload a file","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can click upload to browse to a document on my desktop so that I can upload it to the selected folder.

From Documentation:
Click Upload document to and browse for a document to add to the folder."
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Working with Folders: Open a folder","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can click on a folder so that I can see its contents like subfolders and files.

From Documentation:
Click Open to expand the folder and view subfolders and documents"
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Working with Folders: Renaming a folder ","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can rename a folder so that I can better organize my folders

From Documentation:
Click Edit Properties to change the folder name."
Connections,Tailored Experience,"TE: Manage Members 
 ","Community Members need a better way to manage who can access, whose access needs to be revoked, etc. External users fall into this as well.

We also need support for Groups to better manage large amounts of users, e.g. instead of adding 1000 sales people individually, a Group ""Sellers"" can be added.

The concept of roles beyond Member and Owner needs to be expanded as well.

Ideas from Aha for consideration:

| IDEACNCTNS-I-151 | Adding or deleting Community member | 6 |
| IDEACNCTNS-I-27 | List current members in Add Members screen | 2 |
| IDEACNCTNS-I-32 | Request to enable the feature to add group as member in the community. | 1 |
| IDEACNCTNS-I-358 | Hide (external-)member list for external users as option per community and/or per user | 2 |
| IDEACNCTNS-I-408 | Add members to main and subcommunity simultaneously | 3 |
| IDEACNCTNS-I-520 | Enhancement Request: Prepare the way to reflect the changes of group members immediately. | 2 |
| IDEACNCTNS-I-637 | ADD Members to a sub-community risk to click on 'Add all members from the parent community' | 1 |
| IDEACNCTNS-I-874 | community owner/member list report | 5 |
| IDEACNCTNS-I-957 | Notify the community owner when member add/leave the community. | 2 |
| IDEACNCTNS-I-997 | Adding new members to Moderated communities | 4 |
| IDEACNCTNS-I-1027 | Community Member Management - Allow Bulk Removal | 6 |
| IDEACNCTNS-I-1055 | add a third tab on members to see requests for membership in communities | 3 | 
"
Connections,Tailored Experience,"TE: Templates for Communities 
 Review layout capabilities with 5 partners and 5 customers","As a user I can select from existing Community templates to create my new Community. Templates contain page layouts, selected apps, selected content (e.g. a set of Files and Folders, Wiki pages). Templates will be based on the CEC Highlights layout engine. I can also request that a community be turned into a template and Admins will have a way of managing, organizing and categorizing templates. 
"
Connections,Absorb Services Assets,"Connections Sidebar 
 ","Surface Connections wherever you are and provide quick access to your network, content, people while in other applications.

* Integrate Connections into any website
* Share status updates without the need to switch to Connections
* Monitor Connections activities easily 
"
Connections,Complement Microsoft,"MS Outlook Integration 
 ","Two-way transfer of content between Outlook and Connections (Files, Profiles, Updates, Activities, Communities) . Support Windows, Mac, Browser, Mobile clients. Delivered as part of Component Pack and as standalone deliverable for existing customers. 
"
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Upload File","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a Community Member I can add/upload a file from my desktop to the SP library so that I can share it with other Community members

From documentation:
To add a document, click Upload a Document and specify a file to upload and a destination folder."
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Working with Documents: Change properties ","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can edit properties of a file, e.g. change the file name so that I can keep my library organized.

From Documentation:
To change the properties of a document, such as the name, click Edit properties. Edit the properties and save the changes."
Connections,Absorb Services Assets,"Connections Invite 
 ","Invite external users fast and efficiently. Bulk invite, self-service, and email templates remove

* Seamlessly add external users without admin privileges
* Self-service password changing and reset
* Configure mail templates, allowed mail domains and notifications 
"
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Create RSS feed to Library ","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a user I can copy and paste the RSS feed info so that I can view the list of files and folders from other environments.

From Documentation:
To create a feed of the SharePoint documents list, click Feed for SharePoints Documents List, copy the feed data, and paste it into your feed reader."
Connections,Complement Microsoft,"Sharepoint: Work with SharePoint files/folders in Community 
 Create folder","Access files and folders from SharePoint in my Community via a dedicated tab and a Community homepage widget . 
As a Community Member I can create a folder in the SP library so that I can organize my files better

From documentation:
To create a folder, click New Folder and enter a folder name and description."
Connections,Complement Microsoft,"MS Teams Integration 
 ","One-To-One chat : Start a direct chat with a person right from the Connections Profile card, Important-To-Me bubble, or Profile page 

Share with Channel:  If you see a Connections page that your team should see, simply click the share button on top to post to a channel 

Messaging Extension:  When in Teams, simply share a recent Connections Community, File, Wiki, or browse your files right from your chat window 

Connections Tab App:  Bring an entire Connections Community app to a Teams channel so that all members can easily find important project information 
"
Digital Experience,B2E - Elevate employee experiences built on DX,"Event Stream 
 ","To create an engaging experience end-users can receive updates on what is happening in their sphere of influence; from colleagues, content they follow, applications that require attention or events that need a response.

The event stream consolidates the incoming stream of updates and gives the end user an easy digestible view into what is happening in their work environment. 
"
Digital Experience,B2E - Elevate employee experiences built on DX,"Self-Service Apps 
 ","Provide a robust integration layer to integrate applications into the B2E experience so end users can get all their work done in one place.﻿ 
"
Digital Experience,B2E - Elevate employee experiences built on DX,"User Generated Content Service (UGC) 
 ","Wikis, Blogs and simple pages are all means by which end users can create content that is meant for internal consumption by other users without the rigor of corporate driven and highly regulated content.
Collaboration is what drives this type of content creation - users can crate their personal Blog, or create a Wiki to keep track of notes and minute to an ongoing project.

The self-publishing service provides a structure for pages that have been created so that other users can easily navigate what has been created.

The main focus is on how easy it is to create content, from simple templates that define the purpose (i.e. Blog, Wiki, page), to embedded rich text editors that focus on easy of use by providing only what is needed. Embedding social features, Like, Comment, Rate are also supported.

Optional approval steps can be added in case information require validation before publishing.﻿ 
"
Digital Experience,B2E - Elevate employee experiences built on DX,"People Service 
 ","Requirements:https://hclo365-my.sharepoint.com/:w:/g/personal/rene_schimmer_hcl_com/EdfASNu4NEpLlJ3etNWBBaABp9Wn6Qc_u6mvasRmcz8krg

Basic understanding & scope of the solution
The People Service acts as a layer on top of an organization's User Directory (LDAP, AD, …). It adds another level of capability and more end-user focused features by going beyond the simple display of email or telephone numbers or handling authentication.

With the People Service we add these capabilities:

Provide SSO authentication (provided by separate SSO service)
Collect, manage and share additional information about a user (e.g. Tags, Pronounciation, Interests, history, and more)
Find a user based on any attribute, also facilitates Expertise Location
Users can self-manage the information in their profile
Ability to create connections between users (follow, invite)
Leveraging AI (e.g. Suggestions, Relationship analysis, ...)
Access via UI and API, documented end-points need to be available
Get updates on events that other users triggered to follow e.g., projects (provided by separate Event Service)
Discuss: User deactivation (including Anonymization and transfer of content ownership) vs. Deleting a user. The PS does not manage content (unlike CNX), so is this concept valid or N/A?




The first MVP of people service will be focusing on developing features like

Auth enabled (Prerequisite)
Enable user profile management
- User provisioning
- User profile field customization
Enable tagging
User's Profile Photo will be fetched & managed.
Enable tagging
Business card functionalities.
Search capabilities.
Helm support.
Making the product ready for the activity stream.﻿ 
"
Digital Experience,B2E - Elevate employee experiences built on DX,"Auth/ID Service 
 ","Initiative - SSO Authentication Identity Management ServiceDescription - The goal of this initiative is to collate all the epic designed, and refined to deliver Authentication Service which is targeting to achieve a single solution to address Authentication, Identity Management, Authorization, and SSO scenarios across all HCL digital solution products using Keycloak.
Some important considerations, and decisions -

we will focus on achieving  Authentication scenarios first.
No Authorization scenarios are prioritized.
Working, and delivering Authentication services for DX, CNX, and LEAP as the first milestone
features like Identity brokering, Two-factor authentication, Tokens, SSO, User federation,
CUSTOMIZABLE UI, Backward compatibility, and support of different standards used by our customers will be delivered.




Major epics -

Pre-work epic - To help us collate all education, investigation, and validation stories - All most done.
Base Service - An epic to deliver the core features of authentication service using keycloak, all the core work will be done here.
Deliver Enchanted Keycloak Image along with Helm Chart support & Documentation too.
Authentication service for DX - An epic to help integrate Keycloak, authentication service into DX as per DX use-cases & for its customer
Deliver more DX-specific features, documentation & pipelines & adapters
Authentication Service for LEAP - An epic to Improve integration of Keycloak and Leap on OpenLiberty through docs, automation, adapters
Deliver more Leap-specific features, documentation & pipelines & Adapters
Authentication service for VoltMX - Establish Keycloak as an SSO auth service for Volt MX B2E users
Deliver more Volt MX-specific features, documentation & pipelines & Adapters

Major Milestones -

Milestone 1 - Deliver Isolated, independent Base Service (CF 214)

Milestone 2 - Deliver DX, Leap-specific features. (CF 216)

Milestone 3 - Deliver Volt MX-specific features. (TBD)﻿ 
"
Digital Experience,PD - Drag Elements and rearrange inside the canvas,"PD - Static Elements and Layout Elements 
 ","Add and rearrange static elements inside the canvas.

* Initial UI for Presentation Designer
* Static Elements

** Text
** Image
** Link

* Layout Elements

** Container
** Grid

Embedded whiteboard (https://hcl-software.aha.io/whiteboards/7430784701310006287?) 
"
Digital Experience,PD - Drag Elements and rearrange inside the canvas,"PD - Content Elements 
 ","Add and rearrange content elements inside the canvas 
"
Digital Experience,SM - Modernize User Interface,"SM - Modernize Content Explorer 
 ","Update the Site Manager's Content Explorer UI to make it look similar with the Enchanted components 
"
Digital Experience,SM - Modernize User Interface,"SM - Modernize Navigation Panel 
 ","Update the existing navigation panel and make the UI components similar with enchanted components 
"
Digital Experience,SM - New feature requests,"SM - Search for a page within the site 
 ","Make it easier for Practitioners to search for a page within the site. 
"
Domino,Nomad Web Support,"Templates pubnames.ntf - updates for Panagenda 
 ","Addition of one visible view, a few forms, and a hidden view to this database design. The purpose is to at least be able to configure MarvelClient Migration Roaming and install MarvelClient databases. The visible view will be linked to from one or more new entries in the outline/navigator on the left, under the ""People"" and/or ""Configuration"" categories.

These design elements will be provided by panagenda. 
"
Domino,Secure Mail for 14.0,"Security J.10.2 - Automate the creation of credstore.nsf on first server setup unless the admin opts out 
 ","Auto-deploy credstore.nsf on first server setup unless the admin opts out. 
"
Domino,Improved Security in 12.0,"ChangePassword for NotesID's in Vault - Nomad Web 
 ","A mechanism in the Notes ID vault for end users to change the passwords (if any) associated with their entries in the Notes ID vault, then we should take that into consideration when planning for future Domino releases.

Background:

Admin creates new Notes userID and sets an initial password. There is no prompt to change the default password for Nomad Web users. 
"
Domino,Secure Mail for 14.0,"Secure server Id with password and apply the password on server restart (Windows + Linux) 
 ","Securing a server ID with a password is optional, but should be mandantory.
The downside is that you cannot perform an unattended restart of the server ( Domino or / and OS ).

So we need a mechanism to apply the password automatically.

There is at least one 3rd party tool available ( BCC Domino Protect ). Domino Protect does a lot more than just apply the password.
You can also write your own extension manager using cAPI to achieve the goal. This is what I have done.

But I would like to see this functionality as part of the core product code.

The options to create / store the password could be

1. Set a password in the admin client and store it ( encrypted ) in a place where can access it during server restart.
2. Let the code create a random, high complex password
3. Let the code create a random, high complex password based on properties of the used hardware. This would it make more secure, because the password would not have to be stored anywhere on the machine. 
"
Domino,Foundational Improvements for 12.0.2,"J.7 - Upgrade to OpenSSL 3.0 for FIPS 140-2 support 
 ","Upgrade to OpenSSL 3.0 for FIPS 140-2 support 
"
Domino,Improved Security in 12.0,"Fail2ban - Block IP Addresses in Case of Failed Login Attempts 
 ","https://jira.cwp.pnp-hcl.com/browse/DNEXT-240

SPR LJAS73HKFA: Internet Password Lockout Database shoulld store source IP addr of failed login attempts 
"
Domino,Reduce Technical Debt in 14.0,"Clean up ndext directory to give developers the choice to use newer open source libraries  
 ","The ""ndext"" directory of Domino contains more and more open source and internal libraries that are automatically added to the JVM classpath of web apps (and probably agents as well), e.g.:

* activation.jar => javax.activation version 1.1
* BlueJavaHtmlSanitizer.jar => OWASP HTML sanitizer version 20180219.1
* domino-acf-policies.jar => OWASP ACF policies for Domino
* dlt.jar => com.ibm.dltj, version nightlybuild_DLT7113_HF_2010_05_17_Hursley
* dservlet.jar => lotus.domino.server.*
* dwabl.jar =>com.lotus.dwa.*
* guava.jar => Google Guava version 19.0.0
* ibmdirectoryservices.jar => com.ibm.directoryservices.ldap
* icu4j.jar => ICU4J version 4.0
* jsdk.jar => javax.servlet.* API, version probably 2.4
* liveconn.jar => netscape.javascript.* LiveConnect API for browser applets
* lmgfilter.jar => com.ibm.spamguru
* mail.jar => javax.mail.* API 1.4
* RMEval.jar => com.ibm.amw
* stcommsrvrtk.jar => Sametime Java classes version SAMETIME8.0.2_20081209.0208_WIN32AIXSOLLIN_WESTFORD


As a developer, the libs that hurt the most are the old versions of Google Guava, ICU4J and the OWASP HTML sanitizer.


activation.jar even is a duplicate, because the JDK 1.8 rt.jar archive already contains this API.


Having them in the JDK system classpath by default means we cannot use newer versions in our applications (except for some very experimental Java classloader tricks which also require higher Java privileges than standard XPages web apps have).

Please clean this directory up or find a different implementation approach that lets us use newer lib versions in our apps.

Karsten Lehmann, Mindoo GmbH 
"
Domino,Secure Mail for 12.0.2,"Antivirus scanning by supporting ICAP protocol 
 ","Ability for Domino to scan mails for viruses by using the ICAP protocol.

The iCAP protocol will return information about the content that was submitted, but will not take action on the content itself. Domino is requested to provide a configurable set of actions (e.g. delete mail, quarantine mail, tag&deliver, etc.) 
"
Domino,Reduce Technical Debt in 14.0,"ical will drop description if the ical stream comes over with a large size (approximately 50KB) 
 ","If user send any skype meeting invite with more than 50 KB description, description is not visible in lotus notes client. I was able to reproduce the issue with notes client and domino version 11 as well. You will only see message ""The text in the body of this meeting notice exceeded iCalendar's maximum size limit and was removed. Ask the sender to include the text as an attachment to the body of the meeting notice to avoid this problem"". We also have an SPR # BLEE6C2N7T which was raised in 2005 but still not fixed. Screen shot attached for more details. See SPR for exact steps to reproduce the issue. 
"
Domino,Technical Debt 12.0.2,"Bring back DOTS support 
 ","DOTS was an important addition in the panorama of the scheduled processes fo Domino.
True, it was cumbersome to have to install the Social Component in order to have DOTS task but overall it was a ""breath of decent fresh air"". Considered the power of update sites, config docs and OSGi plugins, AMgr had definitively become an inferior option.

We developed a few key solutions for our customers and now the support for DOTS has been literally removed from Domino 10. Considered that you decided to stop investing in XPages but you kept it I would have expected you did the same with DOTS.

How I wish it were even slightly improved upon:

* DOTS as core task (no separate installation)

* 1 OSGi environment, not 2 (that is XPages and DOTS managed separately)

* See IDEAAD-I-88 (https://domino.ideas.aha.io/ideas/IDEAAD-I-88) for other useful ideas

It's truly disheartening to see DOTS gone after all the efforts that we put into building solutions for it.
At the moment we are strongly discouraging our customers from ever upgrading to V10 because we don't have alternative solution but to stick with Domino 9. 
"
Domino,Secure Mail for 12.0.2,"Ability to encrypt a database programatically 
 ","Ability to encrypt an existing database programatically

Acceptance criteria:

* functionality is provided for CAPI + LotusScript
* Ability to identify which Notes ID was used to encrypt the DB
* Ability to read the algortihm/encryption strength that was used 
"
Domino,Internationalization improvements,"Support of internationalized domain names in Notes and Domino 
 ","Enable Domino to transfer to any IDN (=Internationalized Domain Name), blocking communication from/to customers where the domain name contains e.g. an Umlaut.

The request is to provide Internationalized Domain Name (https://en.wikipedia.org/wiki/Internationalized_domain_name) support for:

* Send mails to a mail domain with an internationalized domain name.
* Receive from internet recipients with IDN domain name 
"
Domino,Reduce Technical Debt in 14.0,"Internet Lockout not per server, but per website or per domain. 
 ","When you have a clustered Domino backend for hosting websites or web-apps, and you have a loadbalancer in front of them......and internet lockout only occurs per server.....it's possible that you end up on another cluster-member and can continue to login again. The current lockout is based on server, and not on websites|clusters|domains|etc


Please add more options to internet lockout for clustered webaccess like block for entire domain or block for entire website. 
"
Domino,Technical Debt 12.0.2,"Linux: Support SELinux in Enforcing Mode 
 ","SELinux is almost 20 years old now.  Most software that runs on Linux is well integrated into SELinux by this time and Domino should be, too.

I would add that I've been routinely ignoring that instruction for quite a few years now and never seen an AVC Denial in CentOS nor RedHat Linux Enterprise. Maybe all that needs to be done is some testing to validate that installing and running Domino on Linux with SELinux in Enforcing mode does not cause known problems and is, therefore a supported configuration. This would enhance Domino's reputation in Security. See Promote Domino as the most secure thing on the planet (https://domino-ideas.hcltechsw.com/ideas/DOMINO-I-959) .

Clarification:

So to clarify, what I'm asking for in this ""idea"" is for Domino support for SELinux by HCL testing installation and runtime of Domino with SELinux in Enforcing/Targeted mode.

If no errors are observed, then the documentation should state that this is a supported OS configuration.

If any access issues to system objects/files (like the mongodb example in my comment below) occur, then the fix would be implemented in the installation routine or alternately documented in the installation instructions and the knowledge base. 
"
Domino,Improve User Experience for 12.0.2,"Security G.5 - Review, redesign, and simplify SAML workflow and configuration 
 ","Review, redesign, and simplify SAML configuration and workflow including direct involvement from UX. Currently many fields in idpcat.nsf are unused or used for multiple different purposes, and have textual labels that require referencing the source code to understand. The overall configuration workflow is as clear as mud, likely because the original implementation was fixated on only supporting one specific version of two specific IdPs – IBM TFIM and MS ADFS – and the more advanced SAML 2.0 support added in V10 had to be shoe-horned into that original limited framework.


Case in point: When I tried to configure Web Federated Login and Notes Federated Login on my test server to start working on Nomad Federated Login – despite having full access to product documentation and the source code – I spent days fighting with the configuration before inviting the entire core security/admin team into an hour-long meeting where even the some of the people who were on the team that designed and implemented that functionality were reduced to guessing at how to correctly configure it.


The best way to accomplish this simplification could involve a wizard of some kind to walk the end user through collecting the correct information and depositing it into the correct fields in the correct order. 
"
Domino,Reduce Technical Debt in 14.0,"Non-English IMAP Outlook Client ""Sent Item"" and ""Deleted Item"" folders are not being updated 
 ","When connecting to Domino server via IMAP using non-English(Arabic, Korean, etc.) Outlook client, the ""Sent Item"" and ""Deleted Item"" folders are not being updated.

You already have the notes.ini parameter EnableImapFolderSynch=1 (https://support.hcltechsw.com/csm?id=kb_article&sysparm_article=KB0029716) and re-enabled the IMAP support on the database but still these folders are not being updated.

When using Outlook in English language, the Sent and Trash folder is being updated properly.


On Notes/Domino environment, the sent and draft messages are stored in a VIEW called ($Sent) and ($Draft). However on Outlook/IMAP they store the sent and draft mails on a FOLDER. That is why when you check the folder list on designer client you would see folder with an alias of ""IMAPSent"" and ""IMAPDrafts"". These folders are use for IMAP sync by the Domino server.


Outlook client that is not in English is creating new folders that translates to ""Deleted Items"", ""Sent Items"", and ""Junk Mail"".

If you open the database using a Designer client you will see folders created by the user ID you use to setup IMAP.


Since the other folders are created by Outlook, they are not used to sync Sent and Draft mail by the Domino server. This can cause confusion to end users on why those folders are empty. The folders (in English language) ""Sent"", and ""Draft"" can be used to view sent and draft mails.


So it will be great if Domino syncs ""Sent"" and ""Draft"" with the translated folders created by outlook in non- English IMAP outlook Client. 
"
Domino,Technical Debt 12.0.2,"Linux : Kernel 5.x support 
 ","Support for Linux 5.x Kernel, which is used in a number of Linux distros, e.g.

* SUSE Leap / SLES 12 SP3
* PhotonOS
* Oracle Linux 8.5
* Ubuntu 20.x LTS
* Debian 11
* Microsoft WSL 2
* CentOS/RHEL 9 
"
Domino,Reduce Technical Debt in 14.0,"$MessageID disparities for same message to different recipients 
 ","Issue details:
Installed Software:
Work Server 10.1.1 R2 (101.1.38) cluster
Work Server Config for duplicate detection:
Duplicate Detection Type: 2
Server-Side Duplicate Detection: Y
Server-Side Duplicate Detection Type: 0
WorkSite Communication Server 9.0 SP1 for Lotus Notes (90.1000.6)
EM for Lotus Notes 93.1.86
DeskSite 93.4.43
OffSite 93.4.39


How to reproduce the Email Duplicates:
1. Send and File a mail to an internal recipient and an external recipient.

2. The mail will be filed to iManage; in this case the MSG ID is:
OF1A243DA6.44F8EBF3ONC12582EF.006896D3C12582EF.00693459@externaldomain.org

3. The internal recipient's Inbox filer within Lotus Notes will also file the received mail into iManage -> no duplicate detection.
MSG ID if this mail is:
OF1A243DA6.44F8EBF3ONC12582EF.006896D3C12582EF.006933D7@LocalDomain


Further Information / status (from iManage investigation)

During our investigation of NT-55737, we also see the message id of the document imported by WCS is different from message id of the email imported from the Inbox.
Message id from the EML file in WCS drop folder: <OFD60E6F6D.56B66206-ON6525830D.003E64CD-6525830D.003E6AEC@imanage.com>

Message id of the same email in my Inbox: <OFD60E6F6D.56B66206-ON6525830D.003E64CD-6525830D.003E6ADE@LocalDomain>

Because of this, duplicate detection is failing. If the user imports the message from their Inbox more than once, duplicate detection works fine, as the message id is identical. We're investigating why Domino server would stamp different message ids to different copies of the same message. We're also investigating if a there is a workaround available to work around this issue. I've reach out to Engineering for the current status update that I will share with you.

IBM has reached out to us on behalf of the Customer to develop a possible solution with duplicate email detection; as there is a difference in the MessageID value when comparing the same email from the user's inbox with the one sent to the COM Server. We use the MessageID as a unique identifier in our duplicate detection process. 
"
